MySQL connected successfully.
Server running on port 4000
[2026-05-25T20:22:12.831Z] GET /api/page-seo
[2026-05-25T20:22:12.832Z] GET /api/dashboard/posts
[2026-05-25T20:22:12.836Z] GET /api/auth/me
[2026-05-25T20:22:12.842Z] GET /api/page-seo
[2026-05-25T20:22:12.868Z] GET /api/dashboard/posts
[2026-05-25T20:22:12.904Z] GET /api/page-seo
[2026-05-25T20:22:12.906Z] GET /api/dashboard/posts
[2026-05-25T20:22:12.917Z] GET /api/page-seo
[2026-05-25T20:22:12.943Z] GET /api/dashboard/posts
[2026-05-25T20:22:14.795Z] GET /api/page-seo
[2026-05-25T20:22:14.797Z] GET /api/career/jobs
[2026-05-25T20:22:14.798Z] GET /api/career/applications
[2026-05-25T20:22:14.801Z] GET /api/auth/me
[2026-05-25T20:22:14.820Z] GET /api/career/jobs
[2026-05-25T20:22:14.821Z] GET /api/career/applications
[2026-05-25T20:22:14.841Z] GET /api/career/jobs
[2026-05-25T20:22:14.842Z] GET /api/career/applications
[2026-05-25T20:22:14.846Z] GET /api/career/jobs
[2026-05-25T20:22:14.847Z] GET /api/career/applications
[2026-05-25T20:22:16.851Z] GET /api/page-seo
[2026-05-25T20:22:16.853Z] GET /api/auth/me
[2026-05-25T20:22:17.315Z] GET /api/page-seo
[2026-05-25T20:22:17.317Z] GET /api/auth/me
[2026-05-25T20:22:18.845Z] GET /api/page-seo
[2026-05-25T20:22:18.846Z] GET /api/auth/me
[2026-05-25T20:22:19.392Z] GET /api/page-seo
[2026-05-25T20:22:19.393Z] GET /api/career/jobs
[2026-05-25T20:22:19.394Z] GET /api/career/applications
[2026-05-25T20:22:19.395Z] GET /api/auth/me
[2026-05-25T20:22:19.404Z] GET /api/career/jobs
[2026-05-25T20:22:19.405Z] GET /api/career/applications
[2026-05-25T20:22:19.427Z] GET /api/career/jobs
[2026-05-25T20:22:19.428Z] GET /api/career/applications
[2026-05-25T20:22:19.432Z] GET /api/career/jobs
[2026-05-25T20:22:19.433Z] GET /api/career/applications
[2026-05-25T20:22:19.846Z] GET /api/page-seo
[2026-05-25T20:22:19.847Z] GET /api/dashboard/posts
[2026-05-25T20:22:19.849Z] GET /api/page-seo
[2026-05-25T20:22:19.850Z] GET /api/auth/me
[2026-05-25T20:22:19.862Z] GET /api/page-seo
[2026-05-25T20:22:19.895Z] GET /api/dashboard/posts
[2026-05-25T20:22:19.922Z] GET /api/page-seo
[2026-05-25T20:22:19.923Z] GET /api/dashboard/posts
[2026-05-25T20:22:19.927Z] GET /api/page-seo
[2026-05-25T20:22:19.944Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.258Z] GET /api/page-seo
[2026-05-25T20:22:20.259Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.260Z] GET /api/auth/me
[2026-05-25T20:22:20.300Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.325Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.347Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.417Z] GET /api/page-seo
[2026-05-25T20:22:20.418Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.419Z] GET /api/auth/me
[2026-05-25T20:22:20.449Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.478Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.499Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.057Z] GET /api/page-seo
[2026-05-25T20:22:21.058Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.060Z] GET /api/auth/me
[2026-05-25T20:22:21.096Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.119Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.146Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.243Z] GET /api/page-seo
[2026-05-25T20:22:21.244Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.245Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.246Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.248Z] GET /api/auth/me
[2026-05-25T20:22:21.255Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.258Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.259Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.288Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.289Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.290Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.294Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.295Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.295Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.726Z] GET /api/page-seo
[2026-05-25T20:22:21.777Z] GET /api/auth/me
[2026-05-25T20:22:21.870Z] GET /api/page-seo
[2026-05-25T20:22:21.872Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.873Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.875Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.876Z] GET /api/auth/me
[2026-05-25T20:22:21.887Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.889Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.891Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.925Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.926Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.927Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.931Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.932Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.933Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:25.296Z] GET /api/page-seo
[2026-05-25T20:24:53.315Z] GET /api/page-seo
[2026-05-25T20:24:53.320Z] GET /api/page-seo
[2026-05-25T20:24:54.232Z] GET /api/page-seo
[2026-05-25T20:24:54.238Z] GET /api/page-seo
[2026-05-25T20:24:55.155Z] GET /api/page-seo
[2026-05-25T20:24:55.160Z] GET /api/page-seo
[2026-05-25T20:24:55.814Z] GET /api/page-seo
[2026-05-25T20:24:55.820Z] GET /api/page-seo
[2026-05-25T20:24:56.370Z] GET /api/page-seo
[2026-05-25T20:24:56.379Z] GET /api/page-seo
[2026-05-25T20:24:59.426Z] GET /api/page-seo
[2026-05-25T20:24:59.431Z] GET /api/page-seo
[2026-05-25T20:24:59.681Z] GET /api/page-seo
[2026-05-25T20:25:05.016Z] GET /api/page-seo
[2026-05-25T20:25:05.025Z] GET /api/page-seo
[2026-05-25T20:25:05.794Z] GET /api/page-seo
[2026-05-25T20:25:05.799Z] GET /api/page-seo
[2026-05-25T20:25:06.433Z] GET /api/page-seo
[2026-05-25T20:25:06.436Z] GET /api/page-seo
[2026-05-25T20:25:17.234Z] GET /api/page-seo
[2026-05-25T20:25:17.241Z] GET /api/page-seo
[2026-05-25T20:25:17.382Z] GET /api/page-seo
[2026-05-25T20:25:17.388Z] GET /api/page-seo
[2026-05-25T20:25:19.891Z] GET /api/page-seo
[2026-05-25T20:25:19.897Z] GET /api/page-seo
[2026-05-25T20:25:20.821Z] GET /api/page-seo
[2026-05-25T20:25:20.824Z] GET /api/page-seo
[2026-05-25T20:25:21.444Z] GET /api/page-seo
[2026-05-25T20:25:21.455Z] GET /api/page-seo
[2026-05-25T20:25:22.379Z] GET /api/page-seo
[2026-05-25T20:25:22.385Z] GET /api/page-seo
[2026-05-25T20:25:22.856Z] GET /api/page-seo
[2026-05-25T20:25:22.860Z] GET /api/page-seo
[2026-05-25T20:27:15.700Z] GET /api/page-seo
[2026-05-25T20:27:15.705Z] GET /api/page-seo
[2026-05-25T20:27:15.835Z] GET /api/page-seo
[2026-05-25T20:27:15.859Z] GET /api/page-seo
[2026-05-25T20:27:18.670Z] GET /api/page-seo
[2026-05-25T20:27:18.677Z] GET /api/page-seo
[2026-05-25T20:28:04.318Z] GET /api/page-seo
[2026-05-25T20:28:04.324Z] GET /api/page-seo
[2026-05-25T20:28:50.683Z] GET /api/page-seo
[2026-05-25T20:28:50.690Z] GET /api/page-seo
[2026-05-25T20:29:20.058Z] GET /api/page-seo
[2026-05-25T20:29:20.066Z] GET /api/page-seo
[2026-05-25T20:29:20.244Z] GET /api/page-seo
[2026-05-25T20:29:20.250Z] GET /api/page-seo
[2026-05-25T20:29:24.394Z] GET /api/page-seo
[2026-05-25T20:29:24.400Z] GET /api/page-seo
[2026-05-25T20:29:27.544Z] POST /api/auth/login
[2026-05-25T20:29:28.198Z] GET /api/page-seo
[2026-05-25T20:29:28.204Z] GET /api/auth/me
[2026-05-25T20:29:28.212Z] GET /api/auth/me
[2026-05-25T20:29:28.332Z] GET /api/leads/project-requests
[2026-05-25T20:29:28.335Z] GET /api/leads/contact-leads
[2026-05-25T20:29:28.336Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:28.342Z] GET /api/leads/project-requests
[2026-05-25T20:29:28.343Z] GET /api/leads/contact-leads
[2026-05-25T20:29:28.345Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:32.601Z] GET /api/page-seo
[2026-05-25T20:29:32.702Z] GET /api/auth/me
[2026-05-25T20:29:33.327Z] GET /api/page-seo
[2026-05-25T20:29:33.329Z] GET /api/leads/project-requests
[2026-05-25T20:29:33.330Z] GET /api/leads/contact-leads
[2026-05-25T20:29:33.332Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:33.335Z] GET /api/auth/me
[2026-05-25T20:29:33.339Z] GET /api/leads/project-requests
[2026-05-25T20:29:33.341Z] GET /api/leads/contact-leads
[2026-05-25T20:29:33.344Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:33.382Z] GET /api/leads/project-requests
[2026-05-25T20:29:33.383Z] GET /api/leads/contact-leads
[2026-05-25T20:29:33.384Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:33.389Z] GET /api/leads/project-requests
[2026-05-25T20:29:33.390Z] GET /api/leads/contact-leads
[2026-05-25T20:29:33.391Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:34.434Z] GET /api/page-seo
[2026-05-25T20:29:34.483Z] GET /api/auth/me
[2026-05-25T20:29:35.194Z] GET /api/page-seo
[2026-05-25T20:29:35.195Z] GET /api/dashboard/posts
[2026-05-25T20:29:35.196Z] GET /api/auth/me
[2026-05-25T20:29:35.254Z] GET /api/dashboard/posts
[2026-05-25T20:29:35.281Z] GET /api/dashboard/posts
[2026-05-25T20:29:35.311Z] GET /api/dashboard/posts
[2026-05-25T20:29:35.778Z] GET /api/page-seo
[2026-05-25T20:29:35.779Z] GET /api/dashboard/posts
[2026-05-25T20:29:35.779Z] GET /api/auth/me
[2026-05-25T20:29:35.804Z] GET /api/dashboard/posts
[2026-05-25T20:29:35.836Z] GET /api/dashboard/posts
[2026-05-25T20:29:35.862Z] GET /api/dashboard/posts
[2026-05-25T20:29:36.695Z] GET /api/page-seo
[2026-05-25T20:29:36.696Z] GET /api/dashboard/posts
[2026-05-25T20:29:36.697Z] GET /api/auth/me
[2026-05-25T20:29:36.727Z] GET /api/dashboard/posts
[2026-05-25T20:29:36.749Z] GET /api/dashboard/posts
[2026-05-25T20:29:36.785Z] GET /api/dashboard/posts
[2026-05-25T20:29:38.560Z] GET /api/page-seo
[2026-05-25T20:29:38.562Z] GET /api/content
[2026-05-25T20:29:38.565Z] GET /api/auth/me
[2026-05-25T20:29:38.763Z] GET /api/content
[2026-05-25T20:29:38.768Z] GET /api/content
[2026-05-25T20:29:38.771Z] GET /api/content
[2026-05-25T20:29:41.673Z] GET /api/page-seo
[2026-05-25T20:29:41.674Z] GET /api/dashboard/posts
[2026-05-25T20:29:41.674Z] GET /api/auth/me
[2026-05-25T20:29:41.708Z] GET /api/dashboard/posts
[2026-05-25T20:29:41.736Z] GET /api/dashboard/posts
[2026-05-25T20:29:41.759Z] GET /api/dashboard/posts
[2026-05-25T20:29:42.316Z] GET /api/page-seo
[2026-05-25T20:29:42.317Z] GET /api/dashboard/posts
[2026-05-25T20:29:42.318Z] GET /api/auth/me
[2026-05-25T20:29:42.352Z] GET /api/dashboard/posts
[2026-05-25T20:29:42.372Z] GET /api/dashboard/posts
[2026-05-25T20:29:42.402Z] GET /api/dashboard/posts
[2026-05-25T20:29:45.849Z] GET /api/page-seo
[2026-05-25T20:29:45.850Z] GET /api/dashboard/posts
[2026-05-25T20:29:45.861Z] GET /api/auth/me
[2026-05-25T20:29:45.884Z] GET /api/dashboard/posts
[2026-05-25T20:29:45.907Z] GET /api/dashboard/posts
[2026-05-25T20:29:45.928Z] GET /api/dashboard/posts
[2026-05-25T20:29:46.493Z] GET /api/page-seo
[2026-05-25T20:29:46.534Z] GET /api/auth/me
[2026-05-25T20:29:46.967Z] GET /api/page-seo
[2026-05-25T20:29:46.968Z] GET /api/leads/project-requests
[2026-05-25T20:29:46.968Z] GET /api/leads/contact-leads
[2026-05-25T20:29:46.970Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:46.971Z] GET /api/auth/me
[2026-05-25T20:29:46.983Z] GET /api/leads/project-requests
[2026-05-25T20:29:46.983Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:46.984Z] GET /api/leads/contact-leads
[2026-05-25T20:29:47.014Z] GET /api/leads/project-requests
[2026-05-25T20:29:47.015Z] GET /api/leads/contact-leads
[2026-05-25T20:29:47.016Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:47.020Z] GET /api/leads/project-requests
[2026-05-25T20:29:47.021Z] GET /api/leads/contact-leads
[2026-05-25T20:29:47.021Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:29:49.339Z] GET /api/page-seo
[2026-05-25T20:29:49.340Z] GET /api/leads/project-requests
